ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_ha,Final_Status,Prioritas,Rekomendasi,Action_Plan
P100,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P101,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,1.0,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P102,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P103,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P104,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P105,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,1.6,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P106,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P107,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.64,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P108,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P109,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P110,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P111,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.96,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P112,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P113,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P114,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,1.92,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P115,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P116,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,2.0,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P117,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,1.2,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P118,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.16,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P119,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P120,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P121,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P122,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
